Designator,Mid X,Mid Y,Rotation,Layer
MX25,51.657386,-159.369468,0.0,bottom
MX26,77.851134,-159.369468,0.0,bottom
MX27,98.734108,-161.327213,12.0,bottom
MX28,117.367818,-165.287931,12.0,bottom
MX29,136.00153,-169.24865,12.0,bottom
MX3,106.655543,-124.059791,12.0,bottom
MX30,154.635239,-173.209369,12.0,bottom
MX31,242.501518,-173.209368,348.0,bottom
MX32,261.135232,-169.248646,348.0,bottom
MX33,279.768942,-165.287931,348.0,bottom
MX34,298.402653,-161.327213,348.0,bottom
MX35,319.271787,-159.369467,0.0,bottom
MX36,345.465538,-159.369467,0.0,bottom
MX37,47.593388,-178.419468,0.0,bottom
MX38,73.787138,-178.419468,0.0,bottom
MX39,94.773389,-179.960927,12.0,bottom
MX4,125.289255,-128.020508,12.0,bottom
MX40,113.407101,-183.921643,12.0,bottom
MX41,132.040812,-187.882361,12.0,bottom
MX42,150.674524,-191.843074,12.0,bottom
MX43,246.462237,-191.843079,348.0,bottom
MX44,265.095948,-187.882362,348.0,bottom
MX45,283.729662,-183.921643,348.0,bottom
MX46,302.363374,-179.960926,348.0,bottom
MX47,323.291336,-178.419467,0.0,bottom
MX48,344.722585,-178.419467,0.0,bottom
MX49,366.153835,-178.419465,0.0,bottom
MX5,143.922965,-131.981225,12.0,bottom
MX50,43.580188,-197.469467,0.0,bottom
MX51,67.392686,-197.469464,0.0,bottom
MX52,90.81267,-198.594637,12.0,bottom
MX53,111.775597,-203.050441,12.0,bottom
MX54,144.384591,-209.981697,12.0,bottom
MX55,174.664374,-216.417865,12.0,bottom
MX56,222.472388,-216.417866,348.0,bottom
MX57,250.422955,-210.476791,348.0,bottom
MX58,280.702736,-204.040625,348.0,bottom
MX59,303.994878,-199.089727,348.0,bottom
MX6,162.556676,-135.941942,12.0,bottom
MX60,329.736587,-197.444068,0.0,bottom
MX61,355.930339,-197.444068,0.0,bottom
MX7,234.580085,-135.941941,348.0,bottom
MX8,253.213794,-131.981225,348.0,bottom
MX9,271.847506,-128.020508,348.0,bottom
UG1,246.271353,-138.67234,348.0,bottom
UG10,233.357276,-218.961845,78.0,bottom
UG11,207.225,-222.275,180.0,bottom
UG12,189.6,-222.325,180.0,bottom
UG13,162.582506,-219.088415,192.0,bottom
UG14,124.298423,-210.899765,192.0,bottom
UG15,101.423827,-206.088737,192.0,bottom
UG16,79.463119,-202.625,180.0,bottom
UG17,57.379462,-202.625,180.0,bottom
UG18,77.594462,-126.344466,180.0,bottom
UG19,96.319462,-126.344466,180.0,bottom
UG2,264.885809,-134.741273,348.0,bottom
UG20,116.166282,-131.319989,192.0,bottom
UG21,134.799994,-135.280707,192.0,bottom
UG22,153.389996,-139.206575,192.0,bottom
UG3,283.56323,-130.745706,348.0,bottom
UG4,302.921262,-126.344466,0.0,bottom
UG5,322.174462,-126.344466,0.0,bottom
UG6,343.075,-202.55,180.0,bottom
UG7,319.5,-202.625,180.0,bottom
UG8,295.0726,-206.176109,168.0,bottom
UG9,270.613712,-211.349448,168.0,bottom
