Designator,Mid X,Mid Y,Rotation,Layer
MX52,91.218208,-201.071236,12.0,bottom
MX53,112.181134,-205.527039,12.0,bottom
MX54,144.790129,-212.458296,12.0,bottom
MX55,175.069912,-218.894464,12.0,bottom
MX56,222.877926,-218.894465,348.0,bottom
MX57,250.828494,-212.95339,348.0,bottom
MX58,281.108274,-206.517224,348.0,bottom
MX59,304.400415,-201.566326,348.0,bottom
MX6,162.962214,-138.418541,12.0,bottom
MX60,330.142124,-199.920666,0.0,bottom
MX61,356.335877,-199.920666,0.0,bottom
MX7,234.985623,-138.418539,348.0,bottom
MX8,253.619332,-134.457823,348.0,bottom
MX9,272.253044,-130.497107,348.0,bottom
UG1,246.330827,-141.206873,348.0,bottom
UG10,319.521876,-205.071067,180.0,bottom
UG11,295.050458,-208.753547,168.0,bottom
UG12,271.75832,-213.704443,168.0,bottom
UG13,234.117976,-221.705147,168.0,bottom
UG14,209.405494,-225.206362,180.0,bottom
UG15,188.405493,-225.206362,180.0,bottom
UG16,163.708122,-221.707796,192.0,bottom
UG17,121.409352,-212.716914,192.0,bottom
UG18,100.446422,-208.261108,192.0,bottom
UG19,78.340626,-205.046062,180.0,bottom
UG2,264.859386,-137.268505,348.0,bottom
UG20,57.290626,-205.046061,180.0,bottom
UG21,63.646874,-185.971062,270.0,bottom
UG22,67.753125,-166.946066,270.0,bottom
UG23,71.795624,-147.896068,270.0,bottom
UG24,77.853124,-128.821065,0.0,bottom
UG25,96.903124,-128.821066,0.0,bottom
UG26,116.289295,-133.726259,12.0,bottom
UG27,134.923009,-137.686979,12.0,bottom
UG28,153.556719,-141.647694,12.0,bottom
UG3,283.493099,-133.307787,348.0,bottom
UG4,302.920623,-128.821067,0.0,bottom
UG5,322.078124,-128.821066,0.0,bottom
UG6,326.240622,-147.896066,90.0,bottom
UG7,330.216873,-166.971064,90.0,bottom
UG8,334.353123,-185.996066,90.0,bottom
UG9,340.679375,-205.071066,180.0,bottom
