Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-123-minimal,61,D,C5345962
"J1, J2",PinHeader_1x11_P2.54mm_Vertical,2,Conn_01x11,
"LED1, LED10, LED11, LED12, LED2, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED4, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED7, LED8, LED9",LED_MX_6028R-ROT,36,LED,C5149201
"LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49",LED_MX_6028R,25,LED,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX7, MX8, MX9",SW_MX_HS_S_CPG151101S11_1u,61,MX_SW_HS,
"UG1, UG10, UG11, UG12, UG13, UG14, UG15, UG16, UG17, UG18, UG19, UG2, UG20, UG21, UG22, UG3, UG4, UG5, UG6, UG7, UG8, UG9",sk6812 mini-e towards-facing,22,LED,
